pre_common_admincp_cmenu id 
pre_common_admincp_cmenu title 菜单名称
pre_common_admincp_cmenu url 菜单地址
pre_common_admincp_cmenu sort 菜单类型,备用
pre_common_admincp_cmenu displayorder 显示顺序
pre_common_admincp_cmenu clicks 1 点击数,备用
pre_common_admincp_cmenu uid 添加用户
pre_common_admincp_cmenu dateline 添加时间
pre_common_admincp_group cpgroupid 后台组id
pre_common_admincp_group cpgroupname 后台组名称
pre_common_admincp_member uid 成员uid
pre_common_admincp_member cpgroupid 成员组id
pre_common_admincp_perm cpgroupid 后台组id
pre_common_admincp_perm perm 后台组权限
pre_common_admincp_session uid 用户id
pre_common_admincp_session adminid 管理组id
pre_common_admincp_session panel 面板位置
pre_common_admincp_session ip IP
pre_common_admincp_session dateline 最后动作时间
pre_common_admincp_session errorcount 登录错误次数
pre_common_admingroup admingid 所属管理员分组ID
pre_common_admingroup alloweditpost 是否允许编辑帖子
pre_common_admingroup alloweditpoll 是否允许编辑投票
pre_common_admingroup allowstickthread 是否允许置顶主题
pre_common_admingroup allowmodpost 是否允许审核帖子
pre_common_admingroup allowdelpost 是否允许删除帖子
pre_common_admingroup allowmassprune 是否允许批量删帖
pre_common_admingroup allowrefund 是否允许强制退款
pre_common_admingroup allowcensorword 兼容性字段
pre_common_admingroup allowviewip 是否允许查看IP
pre_common_admingroup allowbanip 是否允许禁止IP
pre_common_admingroup allowedituser 是否允许编辑用户
pre_common_admingroup allowmoduser 是否允许审核用户
pre_common_admingroup allowbanuser 是否允许禁止用户发言
pre_common_admingroup allowbanvisituser 是否允许禁止用户访问
pre_common_admingroup allowpostanunce 是否允许发布站点公告
pre_common_admingroup allowviewlog 是否允许查看管理日志
pre_common_admingroup allowbanpost 是否允许屏蔽帖子
pre_common_admingroup supe_allowpushthread 兼容性字段
pre_common_admingroup allowhighlightthread 是否允许高亮主题
pre_common_admingroup allowlivethread 是否允许直播主题
pre_common_admingroup allowdigestthread 是否允许精华主题
pre_common_admingroup allowrecommendthread 是否允许推荐主题
pre_common_admingroup allowbumpthread 是否允许提升主题
pre_common_admingroup allowclosethread 是否允许关闭主题
pre_common_admingroup allowmovethread 是否允许移动主题
pre_common_admingroup allowedittypethread 是否允许编辑主题分类
pre_common_admingroup allowstampthread 是否允许添加主题图章
pre_common_admingroup allowstamplist 是否允许添加主题图标
pre_common_admingroup allowcopythread 是否允许复制主题
pre_common_admingroup allowmergethread 是否允许合并主题
pre_common_admingroup allowsplitthread 是否允许分割主题
pre_common_admingroup allowrepairthread 是否允许修复主题
pre_common_admingroup allowwarnpost 是否允许警告帖子
pre_common_admingroup allowviewreport 是否允许查看用户报告
pre_common_admingroup alloweditforum 是否允许编辑版块
pre_common_admingroup allowremovereward 是否允许移除悬赏
pre_common_admingroup allowedittrade 是否允许编辑商品
pre_common_admingroup alloweditactivity 是否允许管理活动报名者
pre_common_admingroup allowstickreply 是否允许置顶回帖
pre_common_admingroup allowmanagearticle 是否允许管理所有文章
pre_common_admingroup allowaddtopic 是否允许创建专题
pre_common_admingroup allowmanagetopic 是否允许管理专题
pre_common_admingroup allowdiy 是否允许DIY
pre_common_admingroup allowclearrecycle 是否允许删除回收站的帖子
pre_common_admingroup allowmanagetag 是否允许管理标签
pre_common_admingroup alloweditusertag 是否允许管理用户标签
pre_common_admingroup managefeed 是否允许管理动态(feed)
pre_common_admingroup managedoing 是否允许管理记录
pre_common_admingroup manageshare 是否允许管理分享
pre_common_admingroup manageblog 是否允许管理日志
pre_common_admingroup managealbum 是否允许管理相册
pre_common_admingroup managecomment 是否允许管理评论
pre_common_admingroup managemagiclog 是否允许管理道具记录
pre_common_admingroup managereport 是否允许管理举报
pre_common_admingroup managehotuser 是否允许管理推荐成员
pre_common_admingroup managedefaultuser 是否允许管理推荐好友
pre_common_admingroup managevideophoto 是否允许管理视频认证
pre_common_admingroup managemagic 是否允许管理道具
pre_common_admingroup manageclick 是否允许管理表态动作
pre_common_admingroup allowmanagecollection 是否允许管理淘专辑
pre_common_admingroup allowmakehtml 允许生成HTML
pre_common_adminte id 后台留言id
pre_common_adminte admin 管理员姓名
pre_common_adminte access 哪组可以看到信息
pre_common_adminte adminid 管理员id
pre_common_adminte dateline 发表时间
pre_common_adminte expiration 过期时间
pre_common_advertisement advid 广告id
pre_common_advertisement available 是否启用
pre_common_advertisement type 类型
pre_common_advertisement displayorder 显示顺序
pre_common_advertisement title 广告标题
pre_common_advertisement starttime 开始时间
pre_common_advertisement endtime 结束时间
pre_common_advertisement_custom id 自定义广告类型id
pre_common_advertisement_custom name 名称
pre_common_banned id 禁止id
pre_common_banned ip1 IP分段1
pre_common_banned ip2 IP分段2
pre_common_banned ip3 IP分段3
pre_common_banned ip4 IP分段4
pre_common_banned admin 管理员姓名
pre_common_banned dateline 禁止时间
pre_common_banned expiration 过期时间
